uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,political_leaning,polarization_confidence,left_keywords_count,right_keywords_count
at://did:plc:jax3kfken3dyzr6h5pa7gr6i/app.bsky.feed.post/3m2czkag5c22m,bafyreibuuhw7ohu32ep5otc6b76gyjzwn3ri2tccgkahvr62purcwvkx6u,I think it's time I tell a story. So at the homeless shelter I was at there was a MAGA guy and he told me during a bad period at the shelter that he wanted a 11-14 year old before she got corrupted he said. He seemed to forget that he told me that and would say the democrats are the pedophiles like?,2025-10-03T21:35:11.904Z,totalrecalls.bsky.social,did:plc:jax3kfken3dyzr6h5pa7gr6i,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:19.461108+00:00,en,Michael,33 he/him in Arizona who loves movies🍿and video games🎮 Also like to write sometimes. 6'4,157,66,1347,False,2024-11-03T00:00:44.280Z,https://cdn.bsky.app/img/avatar/plain/did:plc:jax3kfken3dyzr6h5pa7gr6i/bafkreifkywtkf6r3shuhtdlh3mqcaub7nr2lgpyw3rrvrqxkxdxp7zfw7u@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:jax3kfken3dyzr6h5pa7gr6i/bafkreiawl2kr3ucunywniodrdet3xhaevdvrz5iyxucbdtic2djz3mevoi@jpeg,2025-10-03T22:17:19.461008+00:00,334,4.032934131736527,2.378787878787879,22.57,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:19.461099+00:00,2025-10-03T21:35:14.357Z,0,0,0,NEUTRAL,0.5,1,1
at://did:plc:ulpzywfnsluroafdnskmpm32/app.bsky.feed.post/3m2czreawxc2a,bafyreidwlor7qg6me63dk4rqjwr3oisxepn4mpvrqfir2owmjpef5xswi4,Four homeless encampments 'addressed' since Barrie mayor declared state of emergency.,2025-10-03T21:39:10.810Z,barrie360.bsky.social,did:plc:ulpzywfnsluroafdnskmpm32,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:19.322365+00:00,en,Barrie 360 | Local News and Lifestyle,"What Barrie's talking about. From local news to restaurant reviews, we capture the heartbeat of our city.
https://barrie360.com/",634,19,5708,False,2024-11-18T21:34:20.850Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ulpzywfnsluroafdnskmpm32/bafkreiby4zej2i54futydlgch24fqvfswyxu4bivorf47r35ioilagbmaa@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ulpzywfnsluroafdnskmpm32/bafkreicogypwzyyjcbpjdxtum3k23pevvuwripglth73ilyergsmhmx3ba@jpeg,2025-10-03T22:17:19.322285+00:00,319,17.893416927899686,33.36842105263158,28.58,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:19.322359+00:00,2025-10-03T21:39:11.463Z,0,0,0,NEUTRAL,0.5,0,0
at://did:plc:mb7qajhhbkx356jgqs6a7rzg/app.bsky.feed.post/3m2czs5l6os2i,bafyreiftcgrjyfsevgul2jspr6rkomrvbfph67pdd45itn2wieldmb353a,"I’d be unsurprised if there are still people rotting in jail after decades for having a gram of pot on them, harming no-one.Or, those convicted of the “third strike,” however trivial (I believe a homeless person received life for stealing a piece of pizza in 1990’s?), still in profit-prisons",2025-10-03T21:39:37.360Z,gallopinggoat.bsky.social,did:plc:mb7qajhhbkx356jgqs6a7rzg,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:19.179723+00:00,en,Galloping Goat,"Vermonter. Grew up in Kenya, worked internationally.  Proud 🏳️‍🌈🏳️‍⚧️ supporter.  From experience: life is easier in an established banana republic than an emerging one.",869,1925,1239,False,2024-11-11T16:26:21.785Z,https://cdn.bsky.app/img/avatar/plain/did:plc:mb7qajhhbkx356jgqs6a7rzg/bafkreihizrwq57b6jmejs3u4y5cakunuyeq4t7ez2ppzl7lvvvhmo6zasy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:mb7qajhhbkx356jgqs6a7rzg/bafkreicmhvyctudcny3bduifpgrcnie7k2fy45irzrkwv4i6b37anjf4iu@jpeg,2025-10-03T22:17:19.179619+00:00,326,3.8006134969325154,0.4514285714285714,32.9,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:19.179716+00:00,2025-10-03T21:39:37.762Z,0,0,0,NEUTRAL,0.5,0,0
at://did:plc:i6vusvyzi3wgoofzmfquwlbx/app.bsky.feed.post/3m2czwf4phs22,bafyreia3lvcsgcxypd7xba2mnh44nnbwrswh35wh3xdc6p55hdbpxwd3lq,"NO FASCIST TAKEOVERS!
No Military Occupation of Our Cities!
Hands Off Our Youth!
No Nazi Cleansing of “The Homeless!”
The trump maga Project2025 fascist regime Must Go Now!

#trumpsAnEvilUglyLyingCheatingSchemingCriminalPedoPOSScumbagSOB

@refusefascism.bsky.social

refusefascism.org/featured-new...",2025-10-03T21:41:58.191Z,fritzjamoke.bsky.social,did:plc:i6vusvyzi3wgoofzmfquwlbx,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:19.020207+00:00,en,fritz jamoke,"I despise trump & all who enable, support & normalize that evil ugly lying cheating criminal pedo rapist traitorous scumbag pos sob",9805,11438,5564,False,2024-11-14T19:14:44.621Z,https://cdn.bsky.app/img/avatar/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreigsvqhayq27t4hcka2fdzihco6vyw7tbrn2ttohuh65fsrjjtm2hy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreibbv6pppbpaf3fssp6fhcdfxmrongfyf5jcarfit6wmv4kestmw5e@jpeg,2025-10-03T22:17:16.257966+00:00,323,17.226006191950464,0.8572302850148628,48.73,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:19.020202+00:00,2025-10-03T21:42:23.296Z,1,0,0,RIGHT,1.0,0,1
at://did:plc:ntp2tv26rto4p24nxz5jgyyu/app.bsky.feed.post/3m2czxw3i6s2j,bafyreie7dfh6fpws5dthqmdjkw3jxp7zew4drxei4y5tkujjgbvu234nqi,It will not be sustained until more people are unemployed. When more people are homeless. When more people can't buy food. Right now everybody is going to work pretending everything is okay and hoping it really will be.,2025-10-03T21:42:50.832Z,sadiemae1969.bsky.social,did:plc:ntp2tv26rto4p24nxz5jgyyu,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:19.020144+00:00,en,💙SadieMae💙,"The only way to have hope for the future is to behave as if there is hope for the future. 
No doom and gloom! 
#Impeachtrump #Reproductiverights #Antifascist #Classwar
#FuckTrumpgop #TaxtheRich",14393,15055,5452,False,2024-11-14T22:57:16.241Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ntp2tv26rto4p24nxz5jgyyu/bafkreicfeluitzb4cwfwtzsb4okzeq6suodkleezwts3qroclufi3ieoci@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ntp2tv26rto4p24nxz5jgyyu/bafkreie4a6qfkifmuq22p5ewdxpmxavand55ghoi3ck4dwkp5v65ysrt6e@jpeg,2025-10-03T22:17:19.020071+00:00,322,16.93167701863354,0.9560278977084026,54.78,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:19.020137+00:00,2025-10-03T21:42:55.362Z,0,0,0,NEUTRAL,0.5,0,0
at://did:plc:kfm65qilq2pqpr4jlgwwizv5/app.bsky.feed.post/3m2czzv7htk2o,bafyreideehshlci5caqwy4xhnf7w3hxog3ldb2mqrhtmqvyrcp44345cmq,"#Texans
#abbott
#ThisIsTexas
#epstein
#ghislaine_maxwell
#epstein
#TexasEducation
#EricJohnson
Governor abbott should have spent some of the $11.7 Billion Border wall money on fixing Texas Issues. This is a homeless encampment in Dallas.  Educate, feed and shelter Texans FIRST!",2025-10-03T21:43:57.004Z,rokerforever.bsky.social,did:plc:kfm65qilq2pqpr4jlgwwizv5,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:18.854276+00:00,en,CC MSKI,Retired.,129,65,685,False,2025-02-26T06:15:43.545Z,https://cdn.bsky.app/img/avatar/plain/did:plc:kfm65qilq2pqpr4jlgwwizv5/bafkreif5dbcjslrgawfo7ji3cpbszejxjp5zvtbwcsy5s7ujf2o7oufg74@jpeg,,2025-10-03T22:17:18.854124+00:00,219,3.127853881278539,1.9846153846153847,22.08,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:18.854267+00:00,2025-10-03T21:44:00.558Z,0,0,0,NEUTRAL,0.5,0,0
at://did:plc:kvypxhxho575pbcupxnocprn/app.bsky.feed.post/3m2d2glx7qk2q,bafyreie62txfrthnp5t4ytmqgqcl4cydn2l72vl3z5iwd7ryy5s3kliiju,I don’t I’m gonna be alive much longer.   I’m homeless,2025-10-03T21:51:03.521Z,iggethin.bsky.social,did:plc:kvypxhxho575pbcupxnocprn,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:18.712740+00:00,en,Austin/Iggy,"emo boy, poochyena, adhd haver, he/him. a bit of a ringfit enthusiast. | terfs, zoos, pedos, and nazis deserve to burn. Art by Mou",66,155,163,False,2023-08-31T15:34:14.999Z,https://cdn.bsky.app/img/avatar/plain/did:plc:kvypxhxho575pbcupxnocprn/bafkreielde3wc3igz2gosr5o3vov5ccp6e4luqxyno4g4a7qunnnyosj44@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:kvypxhxho575pbcupxnocprn/bafkreihni3sgdspe5invhbgkqs5jzihslhs223znxqxy3w767nh2nzczte@jpeg,2025-10-03T22:17:18.712607+00:00,764,0.21335078534031413,0.4258064516129032,20.29,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:18.712722+00:00,2025-10-03T21:51:05.664Z,0,0,0,NEUTRAL,0.5,0,0
at://did:plc:yztgxxh7fhla5xn3fdfept7a/app.bsky.feed.post/3m2d2k5x4622k,bafyreihds4czbugy2uqdsgmjbmsslmhzmnpcdillxuqxh7b5nc3iquxoru,"Yep, when those farmers have been rendered homeless by Trump's policies, and are living in a storm culvert someplace, they'll still vote for their destroyer's party.",2025-10-03T21:53:03.057Z,duerpress.com,did:plc:yztgxxh7fhla5xn3fdfept7a,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:18.573102+00:00,en,Sherrerd,"I read, I write, I vote.

Republican decisions are based on their belief that the purpose of government is NOT to help people---it is to CONTROL people.  

#RejectRepublicans

#AppeasersStink
#CollaborationistsStink
#StopNormalizing
#PrivatizationTAX",1847,1363,8381,False,2024-12-02T22:00:39.845Z,https://cdn.bsky.app/img/avatar/plain/did:plc:yztgxxh7fhla5xn3fdfept7a/bafkreia6uh4vvcoitvvjzywzuakpumm7amc6al5a3dbn7efqhg3wwrpkme@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:yztgxxh7fhla5xn3fdfept7a/bafkreiep5vgag3jkuxxzlm6qxfexuvhnf4wgjb5zs4fgy4sqp5vuajyety@jpeg,2025-10-03T22:17:18.572977+00:00,305,27.478688524590165,1.35509904622157,33.77,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:18.573092+00:00,2025-10-03T21:53:04.357Z,1,0,0,NEUTRAL,0.5,0,0
at://did:plc:65gzgp5ayz2sbz6v75e32j4r/app.bsky.feed.post/3m2d2kigark23,bafyreibsldugkboq4nxru3t2yfeifmzoh7h6uqgze5yizs5opuejdhwadq,"We can't, but that doesn't mean we can't take advantage of his homeless hating ass",2025-10-03T21:53:14.037Z,splumpi.bsky.social,did:plc:65gzgp5ayz2sbz6v75e32j4r,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:18.428098+00:00,en,Your neighborhood autism creature,"25, she/they, tired as hell, trying to survive the regime. Aspiring to be the unemployed friend on a Tuesday.

Transmascs welcome, LGBTQ friendly, never Newsom

No AI slop or minors",596,290,8946,False,2025-01-29T05:56:53.743Z,https://cdn.bsky.app/img/avatar/plain/did:plc:65gzgp5ayz2sbz6v75e32j4r/bafkreigno26ofj5ulwkl5otvw7jeoerkbstjhdg7yfonrlo4gad7bmn7y4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:65gzgp5ayz2sbz6v75e32j4r/bafkreifct45weckfcj4ivqepbyo7kwvxf4zxxreaeksdkludw6f3bnj3je@jpeg,2025-10-03T22:17:18.428022+00:00,247,36.21862348178138,2.0551724137931036,28.09,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:18.428091+00:00,2025-10-03T21:53:15.058Z,0,0,1,NEUTRAL,0.5,0,0
at://did:plc:hp4clydrokmvgy65hkvxybb3/app.bsky.feed.post/3m2d2rkv2ac2j,bafyreig3k3pbhw3ozmlxyjoyw5yehl3a2z6tzvazdl2iolxt2sxabxjqku,I meant your homeless peer,2025-10-03T21:57:11.502Z,drew.rw,did:plc:hp4clydrokmvgy65hkvxybb3,homeless,homeless,search_api,quicktest_20251003_181715,2025-10-03T22:17:18.283133+00:00,en,Drew Warlock 🍉 iz yr deuteragonist,"🎶 These are our demands:
 We want control of our bodies.
 Decisions will now be ours.
 You can carry out your noble actions,
 We will carry our noble scars. 🎶",1059,4211,2856,False,2023-08-14T16:27:47.308Z,https://cdn.bsky.app/img/avatar/plain/did:plc:hp4clydrokmvgy65hkvxybb3/bafkreiartgziwzzfvkoheksseyhsci7ipm3mnjczt4f2lm7qwljja4xosy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:hp4clydrokmvgy65hkvxybb3/bafkreihwstfmgiqxf6z2x4m7c7czx343n2xrivvw2low75kwmpvsa5vfya@jpeg,2025-10-03T22:17:18.282982+00:00,781,3.6568501920614596,0.251484208026597,32.11,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-03T22:17:18.283124+00:00,2025-10-03T21:57:12.163Z,1,0,1,NEUTRAL,0.5,0,0
